feature_id,ras_path,count
7242527,G:\AWS_ras2fim\sample-dataset\input_iowa\10170204000897\Hydraulic_Models\Simulations\10170204000897.g01,5
7242599,G:\AWS_ras2fim\sample-dataset\input_iowa\10170204000897\Hydraulic_Models\Simulations\10170204000897.g01,5
7242489,G:\AWS_ras2fim\sample-dataset\input_iowa\10170204000897\Hydraulic_Models\Simulations\10170204000897.g01,6
7242523,G:\AWS_ras2fim\sample-dataset\input_iowa\10170204000897\Hydraulic_Models\Simulations\10170204000897.g01,6
7242999,G:\AWS_ras2fim\sample-dataset\input_iowa\10170204000897\Hydraulic_Models\Simulations\10170204000897.g01,6
7242451,G:\AWS_ras2fim\sample-dataset\input_iowa\10170204000897\Hydraulic_Models\Simulations\10170204000897.g01,9
7242511,G:\AWS_ras2fim\sample-dataset\input_iowa\10170204000897\Hydraulic_Models\Simulations\10170204000897.g01,12
7242531,G:\AWS_ras2fim\sample-dataset\input_iowa\10170204000897\Hydraulic_Models\Simulations\10170204000897.g01,12
7242449,G:\AWS_ras2fim\sample-dataset\input_iowa\10170204000897\Hydraulic_Models\Simulations\10170204000897.g01,20
7242581,G:\AWS_ras2fim\sample-dataset\input_iowa\10170204000897\Hydraulic_Models\Simulations\10170204000897.g01,22
7242483,G:\AWS_ras2fim\sample-dataset\input_iowa\10170204000897\Hydraulic_Models\Simulations\10170204000897.g01,27
